days,wind_strength,max_jump_dist,bu_count,bu_area,bu_perim,td_count,td_area,td_perim
90,2.0,5,1795,9385.5,15780.561820341663,5,16505.5,1112.8052659963873
90,2.0,10,1900,8411.5,15490.714057233168,5,15478.5,862.9158723275411
90,2.0,20,1776,8013.5,14117.156482557682,7,14938.5,1119.8763338082517
90,2.0,40,1876,8947.5,15616.981084537896,8,16135.0,1144.3616151824904
90,4.0,0,1420,8643.0,12208.513554720437,4,14563.0,706.0214280248119
90,4.0,5,2042,9564.5,15963.958789961356,6,16974.0,1047.6093065034931
90,4.0,10,1799,9060.5,14945.545442950663,7,15734.5,1101.6509370638362
90,4.0,20,1901,8866.0,15755.147606779276,7,16380.5,1041.4082963767164
90,4.0,40,2158,10286.5,17683.204748178883,2,18318.0,1063.165655689598
90,10.0,0,1889,8267.5,14957.202297200212,8,15245.0,1246.9301576774142
90,10.0,5,1797,8451.5,14575.229642410695,9,15151.5,1118.5626253092669
90,10.0,10,1796,8730.5,14690.76874765402,9,15309.5,1194.3443712397877
90,10.0,20,1825,8871.0,14512.928127220493,10,15805.0,1388.753534168278
90,10.0,40,1757,9208.5,14210.896597927918,6,16506.0,1120.5626253092678
